FARMACIA MAGADAN


BERAZATEGUI, BUENOS AIRES (1884)

CUIT 30-71588312-7
IVA Responsable Inscripto

Ventas y Stock

IDProducto;Troquel;Codebar;Rubro;Producto;Laboratorio;Costo;PVP;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. PVT;Cajas Stock PVT;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. Total;Cajas Stock Total;Codebars
201;;0;;zzzz;;0.00;0.00;0;0;21;0;4;0;107;0;406;0;1268;0;115;0;290;0;3;0;2;0;2216.00;0;
204;;0;;zzzz;;0.00;0.00;92;0;41;0;159;0;1;0;0;0;13;0;0;0;141;0;309;0;74;0;830.00;0;
3002610179;0;7798034080015;Accesorios;ACEITE ALMENDRA PURO X50 ML DELVA;VECCHIO EDUARDO RAMON;2420.39;4100.14;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0.00;2;
3002647261;0;7798124240367;Accesorios;ACEITE DE ALMENDRAS 50ML - DROGAL;MEDICAL GLOVES;1205.78;2042.59;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
9999900637;7700637;7798184230049;Accesorios;ACHIS PAÑ X 6 ;Propios IF;0.00;2000.00;0;0;0;0;0;0;0;4;0;1;0;0;0;1;0;0;0;0;1;0;1.00;6;
3002741328;0;7798140841715;Accesorios;AEROCAMARA ESPAC.C/MASC. BIVALV ADULTO - ELIT;PATEJIM;4420.67;7488.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.00;1;
3002741331;0;7798140841708;Accesorios;AEROCAMARA ESPAC.C/MASC. BIVALV JUVENIL - ELIT;PATEJIM;4420.67;7488.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.00;1;
3002741330;0;7798140841692;Accesorios;AEROCAMARA ESPAC.C/MASC. BIVALV PEDIAT C/BOQ. - ELIT;PATEJIM;4420.67;7488.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0.00;2;
3002610578;0;7793647741865;Accesorios;AEROCAMARA LACTANTE SAN-UP 3221-CAMARA INHALAC;SAN UP S.A.;2414.13;4089.54;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.00;1;
3002610181;0;7798034080176;Accesorios;AGUA BLANCA CODEX X 250ML DELVA;DROGUERIA BARRACAS;1244.59;2108.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0.00;5;
